Timestamp,Date,Currency,AmtLC,DebitAccount,CreditAccount,Comment,Party,Location,Ledger,Flags,SubmittedBy,Device,IP,EntryID
02.06.2026 19:31:17,02.06.2026,CHF,20.4,Mobility Expenses PG,Gutschein SBB PG,Niederhasli-Lachen SZ-Niederhasli,SBB,,PG,,bulk-import,manual CSV import,,e-eaa453f9dc
03.06.2026 16:06:53,03.06.2026,CHF,20.8,Restaurants PG,CC TCS PG,#LL1,Tenz Momos,Winterthur,PG,,bulk-import,manual CSV import,,e-332d90e9c4
03.06.2026 18:43:03,03.06.2026,CHF,10.3,Mobility Expenses PG,Gutschein SBB PG,Niederhasli-Winterthur-Niederhasli,SBB,,PG,,bulk-import,manual CSV import,,e-356fe1e7d5
04.06.2026 12:42:34,04.06.2026,CHF,8.5,Mobility Expenses PG,Gutschein SBB PG,Niederhasli-Zürich-Niederhasli,SBB,,PG,,bulk-import,manual CSV import,,e-449ca207a4
04.06.2026 13:39:43,04.06.2026,CHF,34.85,Groceries PG,CC TCS PG,Einkauf Lebensmittel,Migros,Niederhasli,PG,,bulk-import,manual CSV import,,e-e5f67f04d9
04.06.2026 18:53:34,04.06.2026,CHF,5.25,Groceries PG,CC TCS PG,Einkauf Lebensmittel,Migros,Niederhasli,PG,,bulk-import,manual CSV import,,e-1e3a4ff3f1
05.06.2026 12:42:03,05.06.2026,CHF,4.4,Life PG,CC TCS PG,Drinks & Kaffee,Kuhn,Winterthur,PG,,bulk-import,manual CSV import,,e-4f2451defc
05.06.2026 13:15:04,05.06.2026,CHF,14.1,Mobility Expenses PG,Gutschein SBB PG,Niederhasli-Winterthur-Schaffhausen,SBB,,PG,,bulk-import,manual CSV import,,e-444198d4e9
06.06.2026 08:05:15,05.06.2026,CHF,10,Restaurants (Family) PG,RB PK Plus PG,#DD3,Rossi Bar,Niederhasli,PG,,bulk-import,manual CSV import,,e-56ec5419e4
06.06.2026 13:16:47,06.06.2026,CHF,16,Restaurants PG,CC TCS PG,#LL1,Fulmine,Niederhasli,PG,,bulk-import,manual CSV import,,e-7c95da6442
07.06.2026 17:06:23,07.06.2026,CHF,1.5,Life PG,CC TCS PG,Drinks & Kaffee,Hudson,Zürich-Flughafen,PG,,bulk-import,manual CSV import,,e-160db914a0
07.06.2026 17:06:52,07.06.2026,CHF,3.3,Mobility Expenses PG,Gutschein SBB PG,Niederhasli-Flughafeb,SBB,,PG,,bulk-import,manual CSV import,,e-fb8e7b4af6
08.06.2026 20:46:19,08.06.2026,EUR,8.07,Life PG,SQ WS EUR PG (#315),Drinks & Kaffee,PwC,LU-Luxembourg,PG,,bulk-import,manual CSV import,,e-e4c7afe27a
08.06.2026 20:46:43,08.06.2026,EUR,13.9,Restaurants PG,SQ WS EUR PG (#315),#DD1,Burger King,LU-Luxembourg,PG,,bulk-import,manual CSV import,,e-b54a49c0ef
10.06.2026 07:21:23,07.06.2026,CHF,1.5,Life PG,CC TCS PG,Drinks & Kaffee,Flughafen Zürich,Zürich-Flughafen,PG,,bulk-import,manual CSV import,,e-82e5982034
